data_curva,dias_uteis,taxa_252
01/10/2025,3879.0,13.45
01/10/2025,3960.0,13.44
01/10/2025,3971.0,13.44
01/10/2025,4065.0,13.43
01/10/2025,4111.0,13.42
01/10/2025,4158.0,13.41
01/10/2025,4244.0,13.4
01/10/2025,4320.0,13.39
01/10/2025,4338.0,13.38
01/10/2025,4429.0,13.37
01/10/2025,4478.0,13.36
01/10/2025,4520.0,13.36
01/10/2025,4611.0,13.35
01/10/2025,4681.0,13.34
01/10/2025,4702.0,13.34
01/10/2025,4794.0,13.33
01/10/2025,4842.0,13.33
01/10/2025,4885.0,13.32
01/10/2025,4975.0,13.32
01/10/2025,5040.0,13.32
01/10/2025,5066.0,13.32
01/10/2025,5159.0,13.31
01/10/2025,5206.0,13.31
01/10/2025,5250.0,13.31
01/10/2025,5340.0,13.31
01/10/2025,5402.0,13.31
01/10/2025,5432.0,13.3
01/10/2025,5525.0,13.3
01/10/2025,5580.0,13.3
01/10/2025,5616.0,13.3
01/10/2025,5705.0,13.3
01/10/2025,5797.0,13.29
01/10/2025,5892.0,13.29
01/10/2025,5985.0,13.29
01/10/2025,6070.0,13.29
01/10/2025,6162.0,13.28
01/10/2025,6256.0,13.28
01/10/2025,6347.0,13.28
01/10/2025,6435.0,13.28
01/10/2025,6529.0,13.27
01/10/2025,6620.0,13.27
01/10/2025,6711.0,13.27
01/10/2025,6802.0,13.27
01/10/2025,6893.0,13.27
01/10/2025,6986.0,13.27
01/10/2025,7077.0,13.26
01/10/2025,7166.0,13.26
01/10/2025,7201.0,13.26
01/10/2025,7258.0,13.26
01/10/2025,7442.0,13.26
01/10/2025,7623.0,13.25
01/10/2025,7807.0,13.25
01/10/2025,7988.0,13.25
01/10/2025,8176.0,13.25
01/10/2025,8356.0,13.24
01/10/2025,8538.0,13.24
01/10/2025,8720.0,13.24
01/10/2025,8903.0,13.24
01/10/2025,9000.0,13.23
01/10/2025,9084.0,13.23
01/10/2025,10800.0,13.22
