data;split;metodo;RMSE;MAE;MAPE_%
2025-10-21;test;NSS+L-BFGS-B;0,1450031559612174;0,1228959454839896;0,8664887475629287
2025-10-21;test;GA→NSS+L-BFGS-B;0,14499701677202112;0,12287896724669924;0,866364574673786
2025-10-22;test;CubicSpline;0,004779917723306703;0,0033254643086306486;0,023873534758812858
2025-10-22;test;B-Spline (Ridge);0,016199929986070383;0,012913424301660604;0,09202835810061609
2025-10-22;test;NSS+L-BFGS-B;0,14134810382403576;0,12027238486147951;0,8514450679559712
2025-10-22;test;GA→NSS+L-BFGS-B;0,14121327215424473;0,11981987916094297;0,8479038152992354
2025-10-23;test;CubicSpline;0,004695073243305356;0,0032393862126622558;0,023332705952120114
2025-10-23;test;B-Spline (Ridge);0,017060815435361056;0,013256727418895765;0,09443290381579167
2025-10-23;test;NSS+L-BFGS-B;0,1455530969417903;0,1236126039338388;0,8750091144918855
2025-10-23;test;GA→NSS+L-BFGS-B;0,14558161047466356;0,1234598377293003;0,873730638833718
2025-10-24;test;CubicSpline;0,005083469838083617;0,0032895115796811388;0,023660969418009346
2025-10-24;test;B-Spline (Ridge);0,018655781676932968;0,014499288689759656;0,10358142148070122
2025-10-24;test;NSS+L-BFGS-B;0,14691229436040443;0,12391124438652912;0,8781553265057519
2025-10-24;test;GA→NSS+L-BFGS-B;0,14710350423939939;0,12425708585627097;0,8808030324385553
2025-10-27;test;CubicSpline;0,0049571545222730625;0,003389458571233282;0,02439309427453523
2025-10-27;test;B-Spline (Ridge);0,019954419699485262;0,015217447132928804;0,1086490395767836
2025-10-27;test;NSS+L-BFGS-B;0,1449405686642765;0,12017031642580754;0,8513570953145364
2025-10-27;test;GA→NSS+L-BFGS-B;0,14541693517312812;0,12083449490017976;0,8563064625222395
2025-10-28;test;CubicSpline;0,005063476725814282;0,0035521843995612893;0,025665926140753928
2025-10-28;test;B-Spline (Ridge);0,019530276774481152;0,014976818947728536;0,1069499804518984
2025-10-28;test;NSS+L-BFGS-B;0,1427477123390206;0,11907522186330949;0,8433428918214142
2025-10-28;test;GA→NSS+L-BFGS-B;0,1427729554472176;0,11904980234236634;0,8430915600634623
2025-10-29;test;CubicSpline;0,005220004385641945;0,003858823459573748;0,02759170049193287
2025-10-29;test;B-Spline (Ridge);0,021374463245954274;0,0162064536931427;0,11563162589796948
2025-10-29;test;NSS+L-BFGS-B;0,13533669973478868;0,11306521356668717;0,801246540871293
2025-10-29;test;GA→NSS+L-BFGS-B;0,1355178928272021;0,11322654216193985;0,8024201316846904
2025-10-30;test;CubicSpline;0,004959469592712709;0,0036018143632717977;0,025949024484990844
2025-10-30;test;B-Spline (Ridge);0,018681366286481295;0,014700705484657331;0,10431342876737239
2025-10-30;test;NSS+L-BFGS-B;0,13144257559396752;0,11058941162402751;0,7812518315143238
2025-10-30;test;GA→NSS+L-BFGS-B;0,1312940226598012;0,11029244939783331;0,7789992842957447
2025-10-31;test;CubicSpline;0,004414227137202397;0,003078484236009113;0,022017143312488753
2025-10-31;test;B-Spline (Ridge);0,01902474854162491;0,014595777000470172;0,10421769587213103
2025-10-31;test;NSS+L-BFGS-B;0,13372449334769923;0,11267060345007228;0,8003341433607569
2025-10-31;test;GA→NSS+L-BFGS-B;0,13358878461755483;0,11228380815932014;0,7973458854367423
2025-11-03;test;CubicSpline;0,0051026764268385085;0,0036631841093830945;0,026393974342205053
2025-11-03;test;B-Spline (Ridge);0,018112014273148434;0,013701206764988642;0,09771832202788866
2025-11-03;test;NSS+L-BFGS-B;0,13530300302591533;0,11446550373248265;0,8121341009989024
2025-11-03;test;GA→NSS+L-BFGS-B;0,1353574935073481;0,11439661022721376;0,8115330330653666
2025-11-04;test;CubicSpline;0,0051115079332666995;0,003629423894634326;0,026042080331340502
2025-11-04;test;B-Spline (Ridge);0,017687655801543124;0,013710201746878248;0,09747490657734581
2025-11-04;test;NSS+L-BFGS-B;0,13666200918184007;0,11469501262221905;0,8119234718684815
2025-11-04;test;GA→NSS+L-BFGS-B;0,13660406006828724;0,11453793642512358;0,8107259766328148
2025-11-05;test;CubicSpline;0,004397483303857608;0,0030970265773831262;0,02245531242515939
2025-11-05;test;B-Spline (Ridge);0,018999112497353914;0,014731157340807523;0,10472281527712497
2025-11-05;test;NSS+L-BFGS-B;0,13272263975489287;0,11188508579017105;0,7940900775849593
2025-11-05;test;GA→NSS+L-BFGS-B;0,13255909381041336;0,11152321988651177;0,7913321479778794
2025-11-06;test;CubicSpline;0,0047624751443647705;0,003316744184720215;0,023793343149701232
2025-11-06;test;B-Spline (Ridge);0,018172560264446753;0,014095389678494654;0,10006490205631449
2025-11-06;test;NSS+L-BFGS-B;0,1388658563779786;0,11708150818921705;0,829329638275191
2025-11-06;test;GA→NSS+L-BFGS-B;0,13880361118115575;0,11689431557835263;0,8278651106493574
2025-11-07;test;CubicSpline;0,004433515154950811;0,003133094313331884;0,022487264212617257
2025-11-07;test;B-Spline (Ridge);0,019201117738597125;0,01454365587294752;0,10336921662573972
2025-11-07;test;NSS+L-BFGS-B;0,14094456762983473;0,11894771661299693;0,8428924294736795
2025-11-07;test;GA→NSS+L-BFGS-B;0,14081399797129457;0,11863184534059897;0,8404601150969893
2025-11-10;test;CubicSpline;0,006328878995412919;0,004110771882221212;0,029633750863260096
2025-11-10;test;B-Spline (Ridge);0,019530804684426268;0,014797887393407032;0,10552910978922363
2025-11-10;test;NSS+L-BFGS-B;0,14422458097622232;0,12062205966934736;0,8562352841364631
2025-11-10;test;GA→NSS+L-BFGS-B;0,14473869527320174;0,12121189579422773;0,8605852834125877
2025-11-11;test;CubicSpline;0,005582857974379223;0,003963827597955298;0,02874075557476583
2025-11-11;test;B-Spline (Ridge);0,022665369987593022;0,01772352885169452;0,12658065272330773
