dias_uteis;media_global_obs;dp_entre_dias_obs;media_global_CubicSpline;dp_entre_dias_CubicSpline;media_global_B_Spline_(Ridge);dp_entre_dias_B_Spline_(Ridge);media_global_NSSplusL_BFGS_B;dp_entre_dias_NSSplusL_BFGS_B;media_global_GAtoNSSplusL_BFGS_B;dp_entre_dias_GAtoNSSplusL_BFGS_B
35;14,899445433598649;0,003956524059202058;14,899813783009682;0,0048824570885498695;14,910902455409888;0,004143352037905516;15,08477198552935;0,0316559113706179;15,085169959809011;0,032111651762754295
36;14,899186507936498;0,003933138916951092;14,899571068488573;0,004941094532520905;14,910438170494867;0,004774918874353851;15,080053346878904;0,0320317799329439;15,080447783800704;0,03248404726096382
37;14,898981345715205;0,003989349791188267;14,899318704378137;0,0049976954368167875;14,909952218763799;0,0054917799867651;15,07534323834035;0,03242042286618826;15,075734143662203;0,03286899097660217
38;14,898845307917876;0,004054969759798311;14,899057305247913;0,005049268146496193;14,909444673060968;0,006263558663064218;15,070641648140235;0,0328212453200854;15,071029027635399;0,03326590908365747
39;14,898665281850754;0,0042232326240146684;14,898787458645224;0,0050933392414043545;14,908915606230696;0,007071273966890552;15,065948564519172;0,03323366805650104;15,066332423976236;0,03367424232827736
40;14,898471814923417;0,0044307760602403014;14,89850972777524;0,005128327301324265;14,908365091117279;0,007903005498841181;15,06126397573187;0,033657128537422386;15,061644320954544;0,034093447161761034
41;14,898192326490701;0,004600875609921844;14,898224681227829;0,005153639337157471;14,907793200565026;0,008751091789936324;15,056587870047027;0,03409108182936358;15,056964706854213;0,03452299647609228
42;14,897919354838699;0,004820568795357434;14,897932931529565;0,005170010774606093;14,907200007418238;0,00961046539705449;15,051920235747385;0,034535001177613156;15,052293569973013;0,03496238029852562
43;14,89759946236558;0,005016041601270973;14,897634823917882;0,005180110400055748;14,906585584521219;0,010477676223871947;15,047261061129692;0,0349883784434714;15,047630898622643;0,03541110616283042
44;14,897333333333323;0,005211285038993213;14,897329867706535;0,0051894512430063445;14,90595000471827;0,01135031073215681;15,042610334504719;0,03545072430204063;15,042976681128751;0,03586869934794299
45;14,89705376344085;0,005461681234131161;14,897017528520426;0,005205151142763733;14,90529334085371;0,012226638441964104;15,037968044197159;0,03592156834963934;15,03833090583085;0,03633470298700765
46;14,896793010752678;0,005669951114332115;14,896697490552766;0,005235138445885843;14,904615665771827;0,0131053909943485;15,03333417854571;0,03640045898982541;15,033693561082353;0,03680867801936774
47;14,896357526881712;0,005860063367018581;14,896369328648822;0,005287820113546422;14,903917052316945;0,013985620282057975;15,028708725903014;0,03688696325584707;15,029064635250547;0,037290203039623486
48;14,896099706744858;0,006040667720812154;14,89603239012537;0,005371462250060215;14,903197573333344;0,01486660520913653;15,024091674635615;0,03738066654166013;15,024444116716547;0,0377788740657954
49;14,895636608015632;0,00626642900676075;14,895685829503384;0,00549336757082186;14,902457301665347;0,015747788715819933;15,01948301312399;0,03788117220488787;15,01983199387532;0,03827430419790133
50;14,895334799608984;0,006368253900716927;14,895328762971298;0,0056590482157974995;14,901696310157247;0,01662873454972691;15,014882729762524;0,03838810114779796;15,01522825513564;0,038776123250444695
