Método;Est@DU3465 (média global);Obs@DU3465 (média global);Est@DU3717 (média global);Obs@DU3717 (média global);Viés no DU alvo (p.p.);RMSE por dia (DU alvo);MAE por dia (DU alvo)
CubicSpline;13,536379718999326;13,527192468915953;13,53396249106329;13,505648078242968;0,028314412820321877;0,03747784083704976;0,029275207285209662
B-Spline (Ridge);13,53112973893979;13,527192468915953;13,493493672749898;13,505648078242968;-0,012154405493070897;0,08480767786245703;0,06771835002950573
NSS+L-BFGS-B;13,60226973938212;13,527192468915953;13,576322309371625;13,505648078242968;0,07067423112865612;0,13862936427704747;0,11989705784894368
GA→NSS+L-BFGS-B;13,596525567574025;13,527192468915953;13,568381212687923;13,505648078242968;0,06273313444495443;0,12858070254174905;0,11294474726900484
