Método;Est@DU3465 (média global);Obs@DU3465 (média global);Est@DU3969 (média global);Obs@DU3969 (média global);Viés no DU alvo (p.p.);RMSE por dia (DU alvo);MAE por dia (DU alvo)
CubicSpline;13,536379718999326;13,527192468915953;13,553270184968177;13,494841774890165;0,058428410078011694;0,07608528432596662;0,06304906891500252
B-Spline (Ridge);13,53112973893979;13,527192468915953;13,412203173985514;13,494841774890165;-0,08263860090465158;0,22278093916917033;0,19176853221003332
NSS+L-BFGS-B;13,60226973938212;13,527192468915953;13,52951033729148;13,494841774890165;0,03466856240131477;0,17266986995364408;0,1588784653176274
GA→NSS+L-BFGS-B;13,596525567574025;13,527192468915953;13,519230218032636;13,494841774890165;0,02438844314247035;0,1624062030402307;0,14998260610399236
