Método;Est@DU3465 (média global);Obs@DU3465 (média global);Est@DU5000 (média global);Obs@DU5000 (média global);Viés no DU alvo (p.p.);RMSE por dia (DU alvo);MAE por dia (DU alvo)
CubicSpline;13,536379718999326;13,527192468915953;14,291567014310456;13,393134694738114;0,8984323195723416;1,5095616457773013;1,2682418511539535
B-Spline (Ridge);13,53112973893979;13,527192468915953;12,312687401002664;13,393134694738114;-1,0804472937354497;2,0352848995865886;1,7757177248158582
NSS+L-BFGS-B;13,60226973938212;13,527192468915953;13,161245278542099;13,393134694738114;-0,23188941619601522;0,4306733314198382;0,3312293352230281
GA→NSS+L-BFGS-B;13,596525567574025;13,527192468915953;13,141274016318736;13,393134694738114;-0,2518606784193782;0,431008719138843;0,31576919531325065
