data;obs_DU3465;obs_DU3717;obs_DU3969;obs_DU5000;CubicSpline_DU3465;CubicSpline_DU3717;CubicSpline_DU3969;CubicSpline_DU5000;B_Spline_(Ridge)_DU3465;B_Spline_(Ridge)_DU3717;B_Spline_(Ridge)_DU3969;B_Spline_(Ridge)_DU5000;NSSplusL_BFGS_B_DU3465;NSSplusL_BFGS_B_DU3717;NSSplusL_BFGS_B_DU3969;NSSplusL_BFGS_B_DU5000;GAtoNSSplusL_BFGS_B_DU3465;GAtoNSSplusL_BFGS_B_DU3717;GAtoNSSplusL_BFGS_B_DU3969;GAtoNSSplusL_BFGS_B_DU5000
2025-10-22;13,6;13,571489361702127;13,558928571428572;13,46;13,61724075764989;13,63985547447813;13,69364073133383;14,571874618558047;13,586980416012908;13,511195989762918;13,36124156733229;11,517492017319935;13,748993826266966;13,762413389829323;13,756150641792255;13,54751577736631;13,737587375567088;13,746041064158023;13,734421576810918;13,503026757535084
2025-10-23;13,592921348314606;13,57;13,55;13,45;13,607357473519713;13,623500607445804;13,655818618832788;14,129235310014531;13,56741443595836;13,466226615006896;13,26617719316913;10,789682696535666;13,752731777494528;13,770556458994676;13,768535452012374;13,574136034704948;13,7322171916828;13,741679432011457;13,730422273269987;13,493470363752463
2025-10-24;13,502808988764045;13,48;13,46890243902439;13,36;13,519222591399936;13,534035476456754;13,560463307013205;13,91334579850132;13,472635537845495;13,358319678266774;13,13602966228854;10,438163057972782;13,664386066012883;13,684140949689697;13,684371504373495;13,503438770615489;13,636203985853351;13,643417850842644;13,629574394615938;13,380352886037949
2025-10-27;13,46247191011236;13,430425531914894;13,41909090909091;13,32;13,481096122844018;13,495031874187866;13,516115920315851;13,752556444642906;13,474282776286964;13,466929818708516;13,444627550463702;13,111978848528663;13,615197061596342;13,629683051054245;13,624320637053158;13,417407842238614;13,588369397384525;13,590976659784204;13,572579527865985;13,30662394928129
2025-10-28;13,522359550561797;13,5;13,48;13,38;13,538025081746706;13,525563670355435;13,470857806479982;12,360406922784069;13,566931199237695;13,659499451448058;13,83222918996967;15,906847886602687;13,652394245127715;13,654323416258473;13,635799912180321;13,37591325408971;13,648389112002558;13,648970070038821;13,629139051429025;13,365353809528136
2025-10-29;13,592247191011236;13,57;13,55;13,444175824175824;13,608511038575934;13,627873900091311;13,668706735028922;14,285931158023832;13,589340970210134;13,54742301328475;13,461738161980918;12,393321908436986;13,705871511494406;13,701205126238607;13,675382322456828;13,382259414111969;13,704330255774254;13,6996746229017;13,674114723253473;13,385219643588275
2025-10-30;13,65;13,62;13,61;13,51;13,669318076440303;13,685160664709041;13,71379659262382;14,098928239141674;13,668468268374038;13,677436865527577;13,688476342777628;13,79005314717668;13,77348200714634;13,775464480768875;13,757265122232853;13,498828080238214;13,769518854986327;13,770902700761305;13,752453859593352;13,498195626749608
2025-10-31;13,532022471910112;13,51;13,4988;13,393956043956045;13,559781680657046;13,54279314728552;13,453101616223574;11,564793897122627;13,607270669399597;13,753778712704937;14,011803649435915;16,90527889290456;13,66491811216859;13,671801770442746;13,658595173761563;13,422344185360625;13,665038561292555;13,673971809359873;13,663691608112416;13,449228415405317
2025-11-03;13,571685393258427;13,55;13,54;13,44;13,590405694424996;13,597271999241165;13,596427690655906;13,43210074440162;13,611933055005755;13,683681667621741;13,813931323657084;15,3543550854427;13,719211427844902;13,732484173888395;13,725722823850987;13,511771028896508;13,702470439058937;13,709087951208591;13,695437829344309;13,45586365742673
2025-11-04;13,64;13,62;13,61;13,503516483516483;13,651836551291526;13,69329127445267;13,793655272845236;15,432137898577885;13,619275248419953;13,544426367645032;13,393475967858489;11,51642133380883;13,760311569008454;13,764682993475896;13,748161876134857;13,494486290747757;13,75314767724484;13,754157763804388;13,733811506529994;13,46053885449924
2025-11-05;13,581460674157304;13,56;13,558714285714286;13,46;13,612144418069393;13,60095683135246;13,526604596698075;11,90713345220708;13,624633452734765;13,678585719468504;13,76060848797311;14,550858821522928;13,703872439403018;13,706465921648157;13,687576998102186;13,4170273315655;13,70053306183718;13,702954582364187;13,684374847779358;13,421660657459139
2025-11-06;13,61134831460674;13,59;13,588695652173913;13,473296703296704;13,620799097483504;13,622047943491875;13,605316364609726;13,16282176367999;13,634528802037275;13,688009328902336;13,786684873646376;14,995165839888957;13,752677976256903;13,765416897508734;13,757322058357461;13,532782193989688;13,734371799875602;13,738893575594988;13,721845014849887;13,45760690571239
2025-11-07;13,58123595505618;13,56;13,56;13,45;13,604194054126022;13,647234341467117;13,748808276592532;15,380849006482027;13,573611855635303;13,505439303867583;13,364920125326867;11,58446008984476;13,754379373625909;13,77714077724067;13,779989435142909;13,604789996262578;13,727765840226985;13,741388044490629;13,734876284031161;13,526133130556461
2025-11-10;13,490898876404495;13,477272727272728;13,47;13,352857142857143;13,513933666828285;13,545762872816676;13,61400435497613;14,647745498445113;13,462521903838274;13,342580091747926;13,105668625148223;10,191687046199801;13,656192594476128;13,67498916863902;13,673246136172887;13,475079741216375;13,635546856868274;13,64773515312625;13,63938118569855;13,419952449246635
2025-11-11;13,410786516853932;13,397045454545456;13,39;13,28;13,442524730564124;13,462812406686384;13,480032251092656;13,486971737118687;13,443141965093526;13,466736517070085;13,492031985546497;13,625702165468939;13,527598613353318;13,524781816397967;13,49981599038199;13,207668413966676;13,531320910343307;13,530402488168605;13,507606817145394;13,226743723596243
2025-11-12;13,40067415730337;13,386818181818182;13,38;13,27;13,434605109506387;13,44931460214517;13,449183130253205;13,141695521360363;13,43570645583117;13,460634095781106;13,48735469294461;13,623651044500567;13,517969179466014;13,51273606953447;13,484139041662074;13,165702816649745;13,519047151915387;13,514606288622588;13,48701700463684;13,174789725428738
2025-11-13;13,450561797752808;13,43;13,44;13,332527472527472;13,474414613984496;13,51410083498573;13,585057499126373;14,521496948919566;13,442793974487778;13,387004932115257;13,263987004517196;11,661093731009645;13,567550052562021;13,56993518634329;13,54951708211961;13,270416346795521;13,566096530050483;13,56635910299084;13,54301655796876;13,242432651955964
2025-11-14;13,430449438202247;13,42;13,42;13,32;13,441882064322725;13,465493298987251;13,51216444833743;14,179138771881334;13,415343381078477;13,366705013356626;13,273284609400003;12,2066631001929;13,530116336296112;13,519815877650336;13,486630843455766;13,158931994765883;13,534416840463232;13,527013730114351;13,497380132800807;13,190340606881223
2025-11-17;13,480112359550562;13,47;13,46875;13,352087912087912;13,490776500005035;13,52566998450642;13,605953874752318;14,868761406605172;13,477008439981205;13,459441458811606;13,42390790548812;13,033121683551293;13,551314500464581;13,525870224278343;13,476935388681492;13,082677514168545;13,556816939303339;13,534747795975129;13,4898242862838;13,117625194031683
2025-11-18;13,47;13,455454545454545;13,45;13,34;13,470561917678607;13,470187217136514;13,488097757963574;14,1384841296661;13,470598470638343;13,461186306615723;13,440706749902798;13,21099017804163;13,5155113870513;13,483617170551293;13,428308817675413;13,011291586234771;13,516122147208371;13,484487898848796;13,429440604654287;13,013435974438542
2025-11-19;13,46;13,45;13,45;13,36;13,459200506999458;13,447326712586914;13,492544353278427;15,474660949001063;13,459288065339774;13,394029703097676;13,245488585279624;11,167973244326143;13,508253571933613;13,47767161714071;13,424032290287046;13,01736534327603;13,508565859431036;13,478284797227113;13,424999666508654;13,020207921819452
2025-11-21;13,42;13,41;13,41;13,3;13,418421416171071;13,407222666508352;13,424823273066181;14,398617971498803;13,418288801096352;13,370074632680552;13,271572145850232;12,048190369915037;13,461384089109297;13,42570266977303;13,367205047281628;12,94360912073763;13,456579315476436;13,41836346310059;13,357029466315588;12,919609695012904
2025-11-24;13,37;13,36;13,36;13,24;13,368557521406899;13,356836410905855;13,395847559990006;15,131689352481395;13,36794697694361;13,273029456990164;13,052826594931025;9,90267485813656;13,402058400273914;13,360559507803524;13,295078374438102;12,835724232418748;13,40430299776284;13,364712168626632;13,301528875416981;12,855057724179925
2025-11-25;13,349239130434782;13,33;13,33;13,21;13,350033753168988;13,352108343903156;13,400925028307562;15,049183002536035;13,350150969947212;13,32507697372413;13,25983567378841;12,292069088796737;13,383624535973528;13,34542842341559;13,283320007601173;12,839885685939405;13,381884099387129;13,342305760077497;13,278529221842764;12,825647934655462
2025-11-26;13,259130434782609;13,24;13,24;13,12;13,258668635414772;13,257914886209168;13,270139569237816;13,721328131392017;13,258503557045094;13,244480133861076;13,216117501044122;12,91595194211739;13,288459127577765;13,246427851979345;13,180190439882374;12,71479471608737;13,291523159370968;13,25200709313327;13,188840165912739;12,741133137890339
2025-11-27;13,2;13,19;13,19;13,08;13,200192313389717;13,192510262550261;13,223927260600338;14,557976257207732;13,19976835716529;13,149038208119508;13,034808824654155;11,436362926117509;13,233338641872791;13,189245907894492;13,121350488666524;12,65138131048912;13,23568455135587;13,193726145832967;13,128441389211101;12,673432671481253
2025-11-28;13,16891304347826;13,15;13,15;13,03;13,169358977010084;13,160050489611375;13,179568305791683;14,145955772405523;13,16842774063986;13,103133437610838;12,955241554973414;10,876204828294432;13,197423704731586;13,153719447229879;13,086914518125978;12,626045923293022;13,196583534638963;13,152540615513361;13,085362305896506;12,622619861212476
2025-12-01;13,16858695652174;13,15;13,15;13,03;13,168485486122599;13,157890693565266;13,196767480755724;14,865898943150881;13,167843014384037;13,103937726796406;12,961930038645539;10,987605117604438;13,199049792142437;13,155959231176753;13,090450439802995;12,639862785043231;13,197444898185337;13,153699821883869;13,087513480750651;12,63416530428485
2025-12-02;13,05;13,04;13,03;12,91;13,047718882452102;13,027821701480635;13,077702197854764;15,40640330282809;13,046432354284935;12,939313389674385;12,701872370488632;9,36719537810037;13,082024672327094;13,034702592427834;12,96469613582156;12,49359187355155;13,084347698965322;13,039320117035958;12,972115446437469;12,517001113118551
2025-12-03;13,04;13,02;13,02;12,90032967032967;13,038489589049652;13,021275785104375;13,081708686387383;15,68735671348411;13,03728871633815;12,931653485307788;12,690544820427316;9,19420700108502;13,067304186244337;13,015513493438883;12,941158183345946;12,454088960375508;13,071013391981548;13,022110627311777;12,951259813411308;12,484096095368141
2025-12-04;12,998260869565218;12,98;12,97;12,85;12,99884682987007;12,987815459768994;12,992850734575596;13,500254813766515;12,997749504453475;12,945820514415423;12,834545029861136;11,317657608241229;13,01522766693794;12,95837740133423;12,878632151811988;12,369263950632904;13,015142071776797;12,958816151599747;12,879747157932712;12,374513772472184
2025-12-05;13,558152173913044;13,54;13,53;13,40010989010989;13,559600677335752;13,550125659678114;13,579191440387271;14,863006485635209;13,559620979170113;13,5270299196152;13,460312586350279;12,56178467649014;13,556453532827048;13,48984388226509;13,402144568958528;12,878116400729176;13,547940489786425;13,473909215091355;13,377154122901663;12,801493242812803
